window,train_start,train_end,test_start,risk_on_put_delta,risk_on_call_delta,risk_off_put_delta,risk_off_call_delta,protection_ratio_risk_on,protection_ratio_risk_off,ladder_tenors,purchase_frequency_days,use_put_spreads,use_call_spreads,min_hedge,budget_tiers,train_cagr,train_max_dd,test_cagr,test_max_dd,test_vol,test_sharpe,score
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.25,0.08,0.4,0.7,"[30, 60, 90]",10,True,True,0.4,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.02}",0.014041797859429384,0.009045343426126798,0.137348727196136,0.028103763698367153,0.0630662970153337,1.4066198104995278,0.137348727196136
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.25,0.12,0.5,0.8,"[30, 60, 90]",10,True,True,0.4,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.02}",0.014070382710952067,0.009150847622354975,0.13601939832604049,0.02853576941754015,0.06345931707978299,1.3786407137545829,0.13601939832604049
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.25,0.08,0.4,0.8,"[35, 70, 105]",7,True,True,0.5,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.025310699095862255,0.015666460324261965,0.24206800402092377,0.04923707109483661,0.10765899219101255,1.369049787627306,0.24206800402092377
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.2,0.12,0.5,0.8,"[35, 70, 105]",7,False,True,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.01958561582905438,0.012317140899375717,0.18397060506034868,0.04418439171326109,0.08963651470555792,1.2778845312616578,0.18397060506034868
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.08,-0.2,0.08,0.3,0.8,"[35, 70, 105]",14,True,True,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.02}",0.014195612992462303,0.009333547590302154,0.13328564295235656,0.029508131814613106,0.06437368274309184,1.3170278816812617,0.13328564295235656
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.2,0.08,0.5,0.8,"[30, 60, 90]",7,True,True,0.5,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.02}",0.024847967949444882,0.014747630678585566,0.2544973688565406,0.044892187662305835,0.10454322659230121,1.5143193621882367,0.2544973688565406
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.15,-0.25,0.08,0.5,0.8,"[30, 60, 90]",10,True,True,0.5,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.014104330447182845,0.009231744876562172,0.13511152718077613,0.02885787007980843,0.06376450803809562,1.358310862840064,0.13511152718077613
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.12,-0.2,0.12,0.4,0.8,"[35, 70, 105]",10,False,True,0.5,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.02}",0.012080737587859991,0.007910642067270853,0.10329001132575755,0.028216904276947667,0.05538856175990316,1.1507991022595296,0.10329001132575755
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.3,0.12,0.5,0.7,"[35, 70, 105]",7,False,True,0.4,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.02078364177454972,0.012317140899375717,0.1992530877138643,0.04949338432256544,0.10592008530689893,1.1840048905946572,0.1992530877138643
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.3,0.12,0.3,0.7,"[30, 60, 90]",7,True,True,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.025275073709162488,0.015705060165750927,0.2419393853841567,0.049240823570192827,0.10766779078682531,1.3689459118742657,0.2419393853841567
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.2,0.08,0.3,0.8,"[35, 70, 105]",14,True,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.013225209716966946,0.00713683142715419,0.13080531440835652,0.026223236099196592,0.05877111514136521,1.4479268018356775,0.13080531440835652
