config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier,label
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-16,2020-03-18,2020-03-18,expiry,2,2386.1298828125,2180,2150,2630,2660,486.84,2513.16,484.24,99.47,19.27,1,0.0,-25.33,82.69,76.45,-6.24,3180.43,3047.16,0.0,0.0,2398.1,0.5017,8.6387,10.2203,0,3,2020,-2,BEAR,0.0,13,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-16,2020-03-18,2020-03-19,profit_target,2,2386.1298828125,2155,2125,2665,2695,602.2,2397.8,497.49,82.61,20.75,1,542.69,0.0,82.69,76.45,-6.24,3180.43,3047.16,0.0,0.0,2398.1,0.5017,9.6864,11.6871,0,3,2020,-2,BEAR,0.0,13,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-16,2020-03-17,2020-03-17,expiry,1,2386.1298828125,2235,2205,2555,2585,443.9,2556.1,441.3,99.41,17.26,1,0.0,0.0,82.69,75.91,-6.78,3180.43,3047.16,0.0,0.0,2529.19,5.9955,6.3337,7.0772,0,3,2020,-2,BEAR,0.0,13,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-17,2020-03-20,2020-03-20,expiry,3,2529.18994140625,2285,2255,2825,2855,493.81,2506.19,491.21,99.47,19.6,1,198.51,-180.09,75.91,66.04,-9.87,3166.31,3046.05,0.0,0.0,2304.92,-8.8673,9.6549,11.6958,1,3,2020,-2,BEAR,0.0,14,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-19,2020-03-24,2020-03-24,expiry,5,2409.389892578125,2205,2175,2650,2680,598.57,2401.43,595.97,99.57,24.82,1,0.0,-290.2,72.0,61.67,-10.33,3132.79,3042.35,0.0,0.0,2447.33,1.5747,8.4831,9.9863,3,3,2020,-2,BEAR,0.0,16,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-20,2020-03-25,2020-03-25,expiry,5,2304.919921875,2125,2095,2515,2545,587.4,2412.6,584.8,99.56,24.24,1,107.78,0.0,66.04,63.95,-2.09,3113.83,3039.74,0.0,0.0,2475.56,7.4033,7.8059,9.1144,4,3,2020,-3,BEAR,0.0,17,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-23,2020-03-24,2020-03-24,expiry,1,2237.39990234375,2130,2100,2355,2385,393.58,2606.42,-2609.02,-662.9,-100.1,0,0.0,0.0,61.59,61.67,0.08,3093.09,3036.71,0.0,0.0,2447.33,9.3828,4.8002,5.2561,0,3,2020,-3,BEAR,0.0,18,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-24,2020-03-27,2020-03-27,expiry,3,2447.330078125,2250,2220,2675,2705,468.87,2531.13,466.27,99.45,18.42,1,144.21,-355.62,61.67,65.54,3.87,3076.73,3034.58,0.0,0.0,2541.47,3.8466,8.0631,9.3028,1,3,2020,-3,BEAR,0.0,19,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-26,2020-03-30,2020-03-31,profit_target,4,2630.070068359375,2440,2410,2850,2880,594.59,2405.41,484.21,81.44,20.13,1,529.41,-115.91,61.0,57.08,-3.92,3047.41,3031.25,0.0,0.0,2626.65,-0.13,7.2268,8.3621,3,3,2020,-3,BEAR,0.0,21,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-27,2020-03-31,2020-04-01,profit_target,4,2541.469970703125,2345,2315,2775,2805,587.99,2412.01,504.38,85.78,20.91,1,549.58,0.0,65.54,53.54,-12.0,3032.46,3029.55,0.0,0.0,2584.59,1.6967,7.7306,9.1888,4,3,2020,-3,BEAR,0.0,22,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-27,2020-03-30,2020-03-30,expiry,3,2541.469970703125,2415,2385,2680,2710,445.83,2554.17,443.23,99.42,17.35,1,0.0,0.0,65.54,57.08,-8.46,3032.46,3029.55,0.0,0.0,2626.65,3.3516,4.9763,5.4508,4,3,2020,-3,BEAR,0.0,22,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-30,2020-04-02,2020-04-02,expiry,3,2626.64990234375,2430,2400,2850,2880,473.15,2526.85,470.55,99.45,18.62,1,187.62,-332.82,57.08,50.91,-6.17,3018.65,3028.23,0.0,0.0,2526.9,-3.7976,7.4867,8.5032,0,3,2020,-3,BEAR,0.0,23,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-30,2020-04-02,2020-04-02,expiry,3,2626.64990234375,2445,2415,2835,2865,565.06,2434.94,562.46,99.54,23.1,1,202.27,-418.91,57.08,50.91,-6.17,3018.65,3028.23,0.0,0.0,2526.9,-3.7976,6.9156,7.9322,0,3,2020,-3,BEAR,0.0,23,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-04-02,2020-04-07,2020-04-07,expiry,5,2526.89990234375,2370,2340,2705,2735,547.48,2452.52,544.88,99.53,22.22,1,212.27,-144.37,50.91,46.7,-4.21,2970.85,3022.67,0.0,0.0,2659.41,5.244,6.2092,7.0482,3,4,2020,-3,BEAR,0.0,26,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-04-03,2020-04-06,2020-04-06,expiry,3,2488.64990234375,2400,2370,2585,2615,398.47,2601.53,-2604.13,-653.53,-100.1,0,0.0,0.0,46.8,45.24,-1.56,2954.11,3020.48,0.0,0.0,2663.68,7.0331,3.5622,3.8716,4,4,2020,-3,BEAR,0.0,27,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-04-06,2020-04-09,2020-04-09,expiry,3,2663.679931640625,2505,2475,2845,2875,445.56,2554.44,442.96,99.42,17.34,1,217.74,0.0,45.24,41.67,-3.57,2941.48,3019.03,0.0,0.0,2789.82,4.7356,5.9572,6.8071,0,4,2020,-3,BEAR,0.0,28,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-04-06,2020-04-10,2020-04-10,expiry,4,2663.679931640625,2495,2465,2855,2885,563.25,2436.75,560.65,99.54,23.01,1,152.13,0.0,45.24,45.24,0.0,2941.48,3019.03,0.0,0.0,2663.68,0.0,6.3326,7.1825,0,4,2020,-3,BEAR,0.0,28,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-04-07,2020-04-10,2020-04-10,expiry,3,2659.409912109375,2495,2465,2845,2875,448.88,2551.12,446.28,99.42,17.49,1,0.0,-67.57,46.7,46.7,0.0,2929.79,3017.57,0.0,0.0,2659.41,0.0,6.1822,6.9786,1,4,2020,-3,BEAR,0.0,29,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-04-08,2020-04-13,2020-04-13,expiry,5,2749.97998046875,2605,2575,2910,2940,558.73,2441.27,556.13,99.53,22.78,1,186.66,0.0,43.35,41.17,-2.18,2919.27,3016.59,0.0,0.0,2761.63,0.4236,5.272,5.819,2,4,2020,-3,BEAR,0.0,30,WIN
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2020-04-08,2020-04-13,2020-04-17,profit_target,5,2749.97998046875,2535,2485,3005,3055,930.93,4069.07,530.99,57.04,13.05,1,576.19,0.0,43.35,41.17,-2.18,2919.27,3016.59,0.0,0.0,2761.63,0.4236,7.8175,9.2735,2,4,2020,-3,BEAR,0.0,30,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-04-13,2020-04-15,2020-04-16,profit_target,2,2761.6298828125,2625,2595,2915,2945,557.92,2442.08,422.44,75.72,17.3,1,467.64,-37.74,41.17,40.84,-0.33,2899.15,3015.2,0.0,0.0,2783.36,0.7869,4.9474,5.5536,0,4,2020,-3,BEAR,0.0,32,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-04-13,2020-04-15,2020-04-15,expiry,2,2761.6298828125,2640,2610,2900,2930,425.44,2574.56,422.84,99.39,16.42,1,0.0,-50.3,41.17,40.84,-0.33,2899.15,3015.2,0.0,0.0,2783.36,0.7869,4.4043,5.0105,0,4,2020,-3,BEAR,0.0,32,WIN
