config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-23,2015-03-24,2015-03-24,expiry,1,2104.419921875,2080,2050,2130,2160,87.68,2912.32,85.08,97.03,2.92,1,0.0,0.0,13.41,13.62,0.21,2065.84,,1.0,,2091.5,-0.6139,1.1604,1.2155,0,3,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-23,2015-03-25,2015-03-25,expiry,2,2104.419921875,2075,2045,2140,2170,185.19,2814.81,-1212.4,-654.67,-43.07,0,20.41,0.0,13.41,15.44,2.03,2065.84,,1.0,,2061.05,-2.0609,1.398,1.6907,0,3,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-23,2015-03-25,2015-03-26,stop_loss,2,2104.419921875,2065,2035,2145,2175,217.04,2782.96,-732.65,-337.57,-26.33,0,29.18,-687.45,13.41,15.44,2.03,2065.84,,1.0,,2061.05,-2.0609,1.8732,1.9283,0,3,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-24,2015-03-25,2015-03-27,stop_loss,1,2091.5,2055,2025,2135,2165,227.47,2772.53,-516.93,-227.26,-18.64,0,0.0,-471.73,13.62,15.44,1.82,2066.77,,1.0,,2061.05,-1.4559,1.7452,2.0798,1,3,2015,2,NEUTRAL,1.0,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-27,2015-03-30,2015-03-30,expiry,3,2061.02001953125,2035,2005,2085,2115,145.81,2854.19,19.21,13.17,0.67,1,0.0,0.0,15.07,14.51,-0.56,2069.08,,0.0,,2086.24,1.2237,1.2625,1.1635,4,3,2015,0,CAUTION,0.25,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-30,2015-03-31,2015-03-31,expiry,1,2086.239990234375,2060,2030,2110,2140,129.96,2870.04,127.36,98.0,4.44,1,0.0,0.0,14.51,15.29,0.78,2070.95,,1.0,,2067.89,-0.8796,1.2578,1.1389,0,3,2015,2,CAUTION,0.25,4
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-30,2015-04-01,2015-04-01,expiry,2,2086.239990234375,2055,2025,2120,2150,240.98,2759.02,238.38,98.92,8.64,1,0.0,-51.06,14.51,15.11,0.6,2070.95,,1.0,,2059.69,-1.2726,1.4974,1.6182,0,3,2015,2,CAUTION,0.25,4
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-30,2015-04-02,2015-04-02,expiry,3,2086.239990234375,2045,2015,2130,2160,236.86,2763.14,234.26,98.9,8.48,1,0.0,-60.65,14.51,14.67,0.16,2070.95,,1.0,,2066.96,-0.9242,1.9768,2.0976,0,3,2015,2,CAUTION,0.25,4
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-31,2015-04-02,2015-04-03,profit_target,2,2067.889892578125,2025,1995,2115,2145,235.49,2764.51,177.79,75.5,6.43,1,222.99,0.0,15.29,14.67,-0.62,2071.92,,0.0,,2066.96,-0.045,2.0741,2.2782,1,3,2015,0,CAUTION,0.25,5
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-06,2015-04-07,2015-04-07,expiry,1,2080.6201171875,2055,2025,2105,2135,136.71,2863.29,134.11,98.1,4.68,1,0.0,0.0,14.74,14.78,0.04,2073.71,,1.0,,2076.33,-0.2062,1.2314,1.1718,0,4,2015,2,CAUTION,0.25,8
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-06,2015-04-07,2015-04-08,profit_target,1,2080.6201171875,2045,2015,2115,2145,204.5,2795.5,102.15,49.95,3.65,1,147.35,0.0,14.74,14.78,0.04,2073.71,,1.0,,2076.33,-0.2062,1.712,1.6524,0,4,2015,2,CAUTION,0.25,8
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-06,2015-04-08,2015-04-09,profit_target,2,2080.6201171875,2040,2010,2125,2155,249.12,2750.88,191.19,76.75,6.95,1,236.39,0.0,14.74,13.98,-0.76,2073.71,,1.0,,2081.9,0.0615,1.9523,2.133,0,4,2015,2,CAUTION,0.25,8
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-07,2015-04-08,2015-04-10,profit_target,1,2076.330078125,2035,2005,2120,2150,249.52,2750.48,87.39,35.02,3.18,1,132.59,0.0,14.78,13.98,-0.8,2074.2,,1.0,,2081.9,0.2683,1.9905,2.1032,1,4,2015,2,CAUTION,0.25,9
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-10,2015-04-13,2015-04-13,expiry,3,2102.06005859375,2080,2050,2125,2155,95.39,2904.61,92.79,97.27,3.19,1,0.0,0.0,12.58,13.94,1.36,2077.93,,1.0,,2092.43,-0.4581,1.0494,1.0913,4,4,2015,2,NEUTRAL,1.0,1
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-13,2015-04-14,2015-04-14,expiry,1,2092.429931640625,2070,2040,2115,2145,153.92,2846.08,151.32,98.31,5.32,1,0.0,0.0,13.94,13.67,-0.27,2079.35,,1.0,,2095.84,0.163,1.072,1.0787,0,4,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-13,2015-04-14,2015-04-15,profit_target,1,2092.429931640625,2060,2030,2125,2155,209.14,2790.86,106.04,50.7,3.8,1,151.24,0.0,13.94,13.67,-0.27,2079.35,,1.0,,2095.84,0.163,1.5499,1.5566,0,4,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-13,2015-04-15,2015-04-16,profit_target,2,2092.429931640625,2055,2025,2135,2165,247.41,2752.59,164.74,66.59,5.98,1,209.94,0.0,13.94,12.84,-1.1,2079.35,,1.0,,2106.63,0.6786,1.7888,2.0345,0,4,2015,2,NEUTRAL,1.0,2
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-14,2015-04-16,2015-04-17,profit_target,2,2095.840087890625,2060,2030,2140,2170,234.17,2765.83,175.11,74.78,6.33,1,220.31,0.0,13.67,12.6,-1.07,2081.37,,1.0,,2104.99,0.4366,1.7101,2.107,1,4,2015,2,NEUTRAL,1.0,3
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-17,2015-04-20,2015-04-20,expiry,3,2081.179931640625,2060,2030,2105,2135,148.62,2851.38,146.02,98.25,5.12,1,0.0,0.0,13.89,13.3,-0.59,2084.98,,0.0,,2100.4,0.9235,1.0177,1.1445,4,4,2015,0,CAUTION,0.25,1
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-04-20,2015-04-21,2015-04-21,expiry,1,2100.39990234375,2080,2050,2125,2155,128.99,2871.01,126.39,97.98,4.4,1,0.0,0.0,13.3,13.25,-0.05,2085.74,,1.0,,2097.29,-0.1481,0.9712,1.1712,0,4,2015,2,CAUTION,0.25,2
